id,water,uv,area,fertilizer_usage,yield,pesticides,region,fert a,fert b,fert c,fert d,Unique Fert,Unique lookup,yield/area,water/area,uv/area,Yield Category >=7.5,categories
169,5.615,65.281,3.23,0,7.977,8.969,0,1,1,1,0,1110,14,2.469659443,1.738390093,20.21083591,0,"b,a,c"
476,7.044,73.319,9.081,0,23.009,7.197,0,1,0,1,1,1011,11,2.533751789,0.775685497,8.073890541,0,"c,a,d"
152,5.607,60.038,2.864,2,23.019,7.424,0,1,0,0,1,1001,9,8.037360335,1.957751397,20.96298883,1,"d,a"
293,9.346,64.719,2.797,2,28.066,1.256,0,0,0,0,1,0001,1,10.03432249,3.341437254,23.13872006,1,d
10,7.969,79.21341792,5.407,1,29.14,0.274,0,0,0,1,1,0011,3,5.389310154,1.47383022,14.65016052,0,"c,d"
564,5.92,78.735,5.245,2,29.507,1.136,0,0,1,0,0,0100,4,5.625738799,1.128693994,15.01143947,0,b
941,9.07,71.769,4.13,2,29.673,2.075,0,1,1,1,1,1111,15,7.184745763,2.196125908,17.37748184,0,"b,c,a,d"
303,3.575215889,77.619,6.824,1,30.967,1.497,0,1,1,1,1,1111,15,4.537954279,0.52391792,11.37441383,0,"a,c,b,d"
165,11.482,65.269,2.798,4,31.438,2.334,0,0,1,1,0,0110,6,11.23588277,4.103645461,23.3270193,1,"c,b"
351,3.819,66.138,6.259,0,32.389,0.948,0,0,1,1,1,0111,7,5.174788305,0.610161368,10.56686372,0,"d,b,c"
528,4.259,78.08248579,4.088,4,35.516,0.739,0,1,1,1,0,1110,14,8.687866928,1.041829746,19.10041237,1,"b,c,a"
256,7.097,70.294,4.209,3,36.232,1.771,0,0,1,1,0,0110,6,8.60822048,1.686148729,16.70087907,1,"b,c"
33,8.113,85.449,4.057,3,36.945,1.679,0,1,0,0,1,1001,9,9.106482623,1.999753512,21.06211486,1,"d,a"
518,6.11,89.28,7.367,1,37.244,0.321,0,0,1,1,1,0111,7,5.05551785,0.829374236,12.11890865,0,"c,b,d"
939,6.609,106.31,7.918,0,37.575,1.805,0,1,0,1,0,1010,10,4.745516545,0.834680475,13.4263703,0,"c,a"
18,5.459912285,77.431,6.779,0,38.773,4.901,0,1,1,0,1,1101,13,5.719575159,0.80541559,11.42218616,0,"b,d,a"
